Pozisyon,Kategori,Alan,Soru,Cevap
Frontend,Teknik Yetenekler,React,"React’deki hatalar nasıl ayıklanır?","React kodundaki bir hatayı ayıklamak için hata ayıklama araçları kullanılır. Örneğin Google Chrome için DevTools kullanılabilir. Hata ayıklama araçları, tarayıcıda oluşan JavaScript hatalarını ve konsol çıktılarını görmeye yardımcı olur."
Frontend,Teknik Yetenekler,React,"Kullanıcı arayüzleri oluştururken React kullanmanın avantajları nelerdir?","Sanal DOM modeli aracılığıyla uygulama performansı artırılır. JSX ile verimlilik artırılır.Bileşenler birden çok projede yeniden kullanılır. Açık kaynak topluluğu tarafından yardım alınır. Çok sayıda eklenti araçları vardır."
Frontend,Teknik Yetenekler,React,"React’in dezavantajları nelerdir?","React'in dezavantajlarından bazıları şunlardır: React JS bir JavaScript kütüphanesidir ve karmaşık projelerde yeterli olmayabilir. React'i anlamak için biraz zaman alabilir. React, JavaScript ve UI geliştirme alanında deneyimli olmayan kullanıcılar için zor bir kütüphane olabilir. React’in bazı dokümantasyonları yeterli olmayabilir. React, sürekli olarak güncellenir. Bu da mevcut özelliklerin sürekli değişmesi anlamına gelir. Geliştiriciler sürekli olarak güncellenen yeni özelliklere uyum sağlamaya çalışır."
Frontend,Teknik Yetenekler,React,"Redux nedir?","Redux, React’i tamamlayıcı bir kütüphanedir. React ve diğer JavaScript framework ve kütüphaneleri ile uyumludur. Redux, geliştiricilerin test etmesi kolay web uygulamaları oluşturmasına yardımcı olur. Ayrıca hata ayıklama araçlarını da içerir."
Frontend,Teknik Yetenekler,React,"React'de Flux kavramı nedir?","Flux, Facebook tarafından geliştirilen bir veri yönetimi yapısıdır. Framework veya kütüphane değildir. React uygulamalarında, verilerin tek yönlü akışını sağlamak ve veri yönetimini düzenlemek için kullanılır."
Frontend,Teknik Yetenekler,React,"React Router nedir?","React Router, React uygulamaları için URL yönlendirme ve sayfa akışları eklemeyi sağlayan bir JavaScript kütüphanesidir. React uygulamalarının dinamik ve interaktif web sayfalarına dönüştürülmesine yardımcı olur. Böylece uygulamanın kullanımını kolaylaştırır ve uygulamanın performansını arttırır."
Frontend,Teknik Yetenekler,React,"React’de <> </> etiketleri ne işe yarar?","React'de; <> </> boş etiketler, JSX (JavaScript XML) sözdizimi tarafından desteklenir. Bu boş etiketler, componentlerin görüntülenmesini kolaylaştırmak için kullanılabilir."
Frontend,Teknik Yetenekler,React,"Birden fazla ifade satırı olduğunda ne yapılır?","JSX ifadesi kullanılır."
Frontend,Teknik Yetenekler,React,"React’de render () işlevinin amacı nedir?","Her React bileşeni render () içerir. Birden fazla HTML ögesinin oluşturulması gerekiyorsa, bunlar <form>, <group>, <div> gibi tek bir çevreleyen etiket içinde gruplanmalıdır."
Frontend,Teknik Yetenekler,React,"StrictMode nedir?","StrictMode, bir uygulamadaki var olacak sorunları vurgulamak için React’in 16.3 sürümüne eklenen bir araçtır. Güvenli olmayan yaşam döngüsü yöntemleriyle bileşenleri tanımlamayı sağlar. Eski sürüm API kullanımıyla ilgili uyarıları verir.Debug sürecini kolaylaştırır."
Frontend,Teknik Yetenekler,React,"React Hook kavramı nedir?","React Hook bir class yazmadan React özelliklerini kullanmaya olanak sağlayan bir yapıdır."
Frontend,Teknik Yetenekler,React,"Props ve State nedir?","Props ve State React bileşenlerinin, veri alma ve görüntülemesini sağlayan iki farklı mekanizmadır. Bileşenin davranışını ve verileri kontrol ederler. Props, React bileşeninin içindeki değerleri tanımlar. Bu değerler, bileşen tarafından okunabilir ama değiştirilemez. State, React bileşeninin içindeki verileri tanımlar."
Frontend,Teknik Yetenekler,React,"Bir bileşenin durumu nasıl güncellenir?","Bir bileşenin durumu this.setState() kullanılarak güncellenebilir."
Frontend,Teknik Yetenekler,React,"React'te Arrow function nedir ve nasıl kullanılır?","Arrow function, JavaScript dilindeki arrow function yapısının React bileşenlerinde kullanımıdır. Bunlara 'şişman ok ' ( => ) işlevleri de denir. Bu işlevler bileşenlerin bağlamını düzgün bir şekilde bağlamaya izin verir. Ok işlevleri çoğunlukla daha yüksek düzey işlevlerle çalışırken kullanışlıdır."
Frontend,Teknik Yetenekler,React,"React’ta stateful ve stateless components nedir?","Stateful components, bileşenin durum değişikliği hakkındaki bilgilerini bellekte saklar. Durumdaki geçmiş, şimdiki ve gelecekteki olası değişikliklerin bilgisini bulundurur. Durum değiştirme yetkisine de sahiptir. 👉 Stateless components, bileşenlerin iç durumunu hesaplar. Durum değiştirme yetkisi olamayacağı gibi, geçmiş, şimdiki ve gelecekteki olası durum değişiklikleri hakkında bilgi de içermez."
Frontend,Teknik Yetenekler,React,"React bileşenlerinin yaşam döngüleri nelerdir?","componentWillMount () – Bileşenin oluşturulmadan önce yani bileşenin 'mount' aşamasında çağrılan bir yaşam döngüsü yöntemidir. componentDidMount () – İstemci tarafında yalnızca ilk işlemeden sonra çalıştırılan yöntemdir. componentWillReceiveProps () – Donanımlar ana sınıftan alınınca ve başka bir işleme alınmadan önce çağrılan yöntemdir. shouldComponentUpdate () – Bileşenin güncellenip güncellenmeyeceğini belirlemek ve performans iyileştirmeleri için kullanılır. componentWillUpdate () – DOM'da oluşturma gerçekleşmeden hemen önce çağrılan yöntemdir. componentDidUpdate () – Bileşen güncellendikten sonra çağrılır. Yeni güncellenmiş bileşen durumlarına erişim sağlar. componentWillUnmount () – Bellek boşluklarını temizlemek için kullanılır."
Frontend,Teknik Yetenekler,React,"React'te event nedir?","React'te bir olay (event), kullanıcının tarayıcı üzerinde gerçekleştirdiği etkileşimlerin bir sonucu olarak meydana gelen bir durumdur. Bunlar, farenin üzerine gelme, fare tıklaması, tuşa basma vb. belirli eylemler olabilir. Bu eventleri işlemek, DOM öğelerindeki olayları işlemeye benzer. Ancak bazı sözdizimsel farklılıklar vardır: 1. Eventler, sadece küçük harf kullanmak yerine camel harfi kullanılarak adlandırılır. 2. Eventler, dizeler yerine işlevler olarak iletilir."
Frontend,Teknik Yetenekler,React,"React'te kod nasıl modüler hale getirilir?","Export ve import özelliklerini kullanarak kod modüler hale getirilebilir."
Frontend,Teknik Yetenekler,React,"React'te formlar nasıl oluşturulur?","React formları, HTML formlarına benzer. React'te durumlar, bileşenin durum özelliğinde bulunur. Bu durumlar, setState() aracılığıyla güncellenir. Bu nedenle, öğeler durumlarını doğrudan güncelleyemez ve gönderimleri bir JavaScript işlevi tarafından gerçekleştirilir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript nedir?","JavaScript, hem istemci hem de sunucu tarafında geliştirme için kullanılan en popüler betik dillerinden bir tanesidir. JavaScript kodu, web tarayıcıları tarafından anlaşılabilen ve çalıştırılabilen HTML sayfalarına eklenebilir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'in Java'dan farkı nedir?","JavaScript bir betik dili iken, Java bir programlama dilidir. Java, işletim sisteminde veya bir tarayıcıda çalışabilen uygulamalar oluşturmak için kullanılırken JavaScript, yalnızca bir tarayıcı içinde çalışır ve genellikle web geliştirmeye odaklanır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript veri türleri nelerdir?","JavaScript tarafından desteklenen toplam 7 temel veri türü vardır: Boolean, Null, Number, Object, String, Symbol, Undefined"
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'in öne çıkan özellikleri nelerdir?","JavaScript'in bazı temel ve önemli özellikleri şunlardır:Nesne yönelimli olması, Açık kaynak kodlu olması, Bir betik dili olması"
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’te “let” ve “var” ayrımı nasıl yapılır?","JavaScript'te değişken bildirimi için hem “let” hem de “var” kullanılır. Aralarındaki en önemli fark, “var” işlev kapsamlı iken, “let” blok kapsamlıdır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript escape (kaçış) karakterleri nelerdir?","JavaScript'te özel karakterler yazılırken kaçış karakteri olan ters eğik çizgi (\) kullanılır. Bazı kaçış karakterleri şunlardır:  \b – Geri alma, \f – Form beslemesi, \n – Yeni satır, \r – Satır başı, \t – Tab, \v – Dikey tab"
Frontend,Teknik Yetenekler,JavaScript,"Javascript’te çıktı nasıl görülür?","JavaScript’te yapılan hesaplamaların sonucunu görebilmek için ekrana yazdırmak gerekir. Javascript’in gerçekleştirdiği işlemleri görmenin 4 farklı yolu vardır: alert() - mesaj kutusunda görüntülemek, document.write() - Html sayfasında görüntülemek, innerHTML - Html etiketi içinde görüntülemek, console.log() - tarayıcı konsolunda görüntülemek"
Frontend,Teknik Yetenekler,JavaScript,"DOM nedir?","DOM, Doküman Nesne Modeli anlamına gelir. Bu HTML belgesini temsil eder. HTML içeriğine erişmek ve içeriğini değiştirmek için kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’te çerez nasıl oluşturulur?","JavaScript’te çerez oluşturmak oldukça basittir. Şu yöntemle çerez oluşturulabilir: document.cookie = 'key1=value1; key2=value2; expires=date'"
Frontend,Teknik Yetenekler,JavaScript,"JavaScript kodunu birkaç satıra bölmek mümkün mü?","Kodlar çok uzun bir satıra yayılırsa, kodların bütünü görülmediği için çalışmak zorlaşabilir. Bu durumda, ters eğik çizgi '\' kullanılarak kod satırı bölünebilir."
Frontend,Teknik Yetenekler,JavaScript,"Bildirilmemiş (undeclared) ve tanımlanmamış (undefined) değişkenler nelerdir?","Bildirilmemiş değişkenler, bir programda bulunmayan değişkenlerdir. Program, bildirilmemiş bir değişkenin değerini okumaya çalışırsa, çalışma zamanı hatası ile karşılaşılır. Tanımsız değişkenler ise, programda tanımlanmış ancak herhangi bir değer verilmemiş değişkenlerdir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te 'this' anahtar kelimesi nedir?","JavaScript'teki 'this' anahtar kelimesi, bir fonksiyonun içinde kullanıldığında, o anda çalıştırılan fonksiyonun bağlı olduğu nesneyi (objeyi) temsil eden özel bir anahtar kelimedir. This anahtar kelimesi kullanıldığı yere göre farklı değerler alabilir. Örneğin bir nesne içerisinde kullanıldığında farklı bir değer ifade ederken bir fonksiyon içerisinde kullanıldığında farklı bir değer ifade edebilir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te zamanlayıcıların çalışması nedir?","Zamanlayıcılar, önceden belirlenmiş bir zamanda kod parçasını yürütmek veya belirli bir aralıkta kodu tekrarlamak için kullanılır. Bu işlem, setTimeout, setInterval ve clearInterval işlevleri kullanılarak yapılır. setTimeout (function, delay) işlevi, belirtilen gecikmeden sonra belirli bir işlevi çağıran bir zamanlayıcıyı başlatmak için kullanılır. setInterval (fonksiyon, gecikme) işlevi, verilen işlevi belirtilen gecikmede tekrar yürütür ve yalnızca iptal edildiğinde durur. clearInterval (id) işlevi zamanlayıcıya durma komutunu verir."
Frontend,Teknik Yetenekler,JavaScript,"Javascript'te yorum nasıl yapılır? Yorum için hangi sembol kullanılır?","JavaScript’te yorumlar için 2 sembol bulunur. 1- Tek satırlık yorumlar için “//” kullanılır. 2- Çok satırlı yorumlar için “/*” kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"ViewState ve SessionState arasındaki fark nedir?","'ViewState', oturumdaki tek bir sayfaya özeldir. 'SessionState', tüm web uygulama sayfalarından erişilebilen, kullanıcıya özel verilere özeldir."
Frontend,Teknik Yetenekler,JavaScript,"“===” operatörü nedir? “==” ile “===” operatörlerinin farkı nedir?","JavaScript'teki '===' (üç eşittir) operatörü, değerlerin hem değerlerini hem de türlerini karşılaştıran bir karşılaştırma operatörüdür. Verilen iki değerin eşit olup olmadığını kontrol eder. “==” operatörü ile iki değişken karşılaştırıldığında, değişkenlerin türleri farklı ama değerleri aynı ise sonuç true olur. Karşılaştırma '===' ile yapılırsa iki değişkenin hem türü hem de değeri aynı ise sonuç true olur."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript kullanarak nasıl form gönderilir?","JavaScript kullanarak bir form göndermek için submit() metodu kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript otomatik tür dönüştürmeyi destekler mi?","Evet, JavaScript otomatik tür dönüştürmeyi destekler. Farklı veri türleri üzerinden işlem yapıldığında veri türünü otomatik olarak doğru veri türüne dönüştürmeye çalışır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'teki döngü yapıları nelerdir?","Javascript'teki döngü yapıları şunlardır:  For - Bir kod bloğunda birkaç kez tekrarlanır. While - Belirtilen bir koşul doğruyken döngüyü tekrar eder. Do-while loops - Koşulu kontrol etmeden önce döngü bloğunu en az bir kez çalıştıran bir yapıdır. Koşul yanlış olduğu sürece döngü tekrar eder. For in - Bir nesnenin tüm özellikleri için döngüyü tekrarlar."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’te tabanlı bir dizi tam sayıya nasıl dönüştürülür?","parseInt() işlevi, sayıları farklı tabanlar arasında dönüştürmek için kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript büyük/küçük harfe duyarlı bir dil midir?","Evet, JavaScript büyük/küçük harfe duyarlı bir betik dilidir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript kaç tür işlevi destekler?","JavaScript’te adlandırılmış ve anonim olmak üzere iki temel işlev vardır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te NULL ne demektir?","NULL değeri, hiçbir değeri veya nesneyi temsil etmemek için kullanılır."
Frontend,Teknik Yetenekler,JavaScript,Delete operatörünün işlevi nedir?,"Delete anahtar sözcüğü, özellikleri ve değerleri silmek için kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"Uyarı kutusu (alert) ile onay kutusu (confirm) arasındaki fark nedir?","JavaScript'te uyarı kutusu (alert) ve onay kutusu (confirm) arasındaki fark şu şekildedir: Uyarı kutusu, sadece “tamam” düğmesi/butonu olan tek bir kutudur. Kullanıcı "Tamam" düğmesine tıkladığında uyarı kutusu kaybolur. Onay kutusu, “tamam” ve “iptal” olmak üzere iki düğmesi/butonu olan kutudur. Kullanıcı "Evet" veya "Hayır" düğmesine tıkladığında onay kutusu, kullanıcının seçimine göre farklı değerleri görüntüler."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’te istisnaları işlemek için hangi anahtar kelimeler kullanılır?","JavaScript'te istisnaları (hataları) işlemek için try, catch ve finally anahtar kelimeleri kullanılır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’teki hata türleri nedir?","JavaScript’te üç tür hata vardır: 1- Syntax Errors: Bir web sayfası yüklenirken ortaya çıkan syntax kaynaklı hatalardır. JavaScript'te yorumlama zamanında ortaya çıkar. 2- Runtime Errors: HTML dili içindeki komutun yanlış kullanımından kaynaklanan hatalardır. Yürütme sırasında (derlemeden/yorumlamadan sonra) meydana gelir. 3- Logical Errors: Farklı bir işlemle bir fonksiyon üzerinde gerçekleştirilen hatalı mantık nedeniyle oluşan hatalardır. Logical errors, izlenmesi en zor hata türleri olabilir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te Push metodu nasıl kullanılır?","JavaScrip’te Push metodu, dizilerin sonuna öğe eklemek için kullanılır. Bu yöntem kullanılarak, birden çok öğe eklenebilir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te unshift metodu nedir?","Unshif metodu, bir veya daha fazla öğeyi dizinin başına eklemek için kullanılan yöntemdir. Bu metod, mevcut dizinin ilk elemanı olarak belirtilen öğeleri ekler ve dizinin diğer elemanlarını kaydırır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript'te 'Strict Mode' nedir ?","JavaScript'te 'Strict Mode', kodun daha güvenli ve tutarlı bir şekilde çalışmasını ve bazı hatalı kullanımları hata olarak tanımlamasını sağlar. Strict mode bir JavaScript dosyasının tamamına uygulanabileceği gibi sadece belirli bir kod bloğuna da uygulanabilir."
Frontend,Teknik Yetenekler,JavaScript,"window.onload ve onDocumentReady nedir?","JavaScript'te, window.onload ve document.ready(), sayfa yüklenirken kullanılan iki farklı yöntemdir. window.onload işlevi, tüm web sayfası yüklendikten sonra yürütülür. Başlık etiketi, stil sayfaları, resimler ve videolar dahil olmak üzere diğer tüm etiketler gibi DOM ile ilgili tüm öğeleri içerir. onDocumentReady, kod bloğunu yürüten bir jQuery yöntemidir. DOM yüklendikten hemen sonra kodu yükler. Bu, kodun erken manipülasyonuna izin verir."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript’te decodeURI() ve encodeURI() nedir?","decodeURI() ve encodeURI(), JavaScript'te URL'leri işlemek için kullanılan iki yöntemdir. encodeURI(): Bu yöntem, bir URL'de kullanılan karakterleri uygun bir biçimde kodlayarak, geçersiz karakterleri URL içinde geçerli karakterlere dönüştürür. decodeURI(): Bu yöntem, bir URL'de kodlanmış karakterleri çevirmeyi sağlar. Yani orjinal karakterleri elde eder."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript kullanmanın avantajları nelerdir?","JavaScript’in kullanım alanı oldukça geniştir. JavaScript'in bu kadar popüler olmasının nedeni tabii ki de sunduğu avantajlardır. JavaScript’in bazı avantajları şunlardır: Kullanımı kolay - JavaScript'in anlaşılması oldukça kolaydır. Yazılıma yeni başlasanız dahi JavaScript’i öğrenmek sanıldığı kadar zor değildir. Hızlı - JavaScript ""yorumlanmış"" bir dildir. Dolayısıyla derleme için olan süreyi kısaltır. Ayrıca JavaScript, sunucu tarafında bekleme sürelerini ortadan kaldırarak programın yürütülmesini hızlandırır. Uyumlu - JavaScript, diğer programlama dilleriyle sorunsuz bir şekilde çalışır. Bu nedenle birçok yazılımcı, çeşitli uygulamalar oluşturmak için JavaScript kullanmayı tercih eder. Sade - JavaScript'in anlaşılması ve öğrenilmesi kolaydır. Yapı, hem kullanıcılar hem de yazılımcılar için basittir. Popüler - Günümüzde en çok kullanılan tarayıcılar JavaScript'i desteklediğinden, hemen hemen her web uygulamalarında JavaScript kullanılır. Google, Amazon, PayPal vb. teknoloji devleri JavaScript'i kullanır. Zengin Arayüz - JavaScript, web sayfaları oluşturmak için çeşitli arayüzler sunar. Sürükle ve bırak bileşenleri web sayfasında geliştirilmiş kullanıcı deneyimi sağlar."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript ile ne yapılabilir?","JavaScript, web sayfaları ve uygulamaları oluşturmak için kullanılır. Google Haritalar, JavaScript kullanılarak geliştirilmiştir. JavaScript akıllı saatlerde kullanılır. Google, Facebook, Netflix, Amazon vb. gibi her gün milyonlarca tıklama alan web siteleri JavaScript’in avantajlarından yararlanırlar. Mobil uygulamalar da JavaScript kullanarak oluşturulur. Bunun yanı sıra oyun geliştirme JavaScript’in bir diğer kullanım alanıdır."
Frontend,Teknik Yetenekler,JavaScript,"JavaScript frameworkleri nelerdir?","En çok kullanılan JavaScript frameworkleri şunlardır: AngularJS: Hızlı uygulama geliştirme özelliği sağlayan web geliştirme frameworküdur. ReactJS: Facebook tarafından desteklenen üst düzey JavaScript frameworküdür. MeteorJS: Backend kısmında kullanılan JavaScript frameworküdür. Zamandan tasarruf etmeyi sağlar. jQuery: Web sitesini geliştirmek ve daha etkileşimli hale getirmek için kullanılan frameworktür. Google, WordPress ve IBM gibi teknoloji şirketleri jQuery'i kullanır."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript nedir?","TypeScript, JavaScript programlama dili üzerine kurulu, nesne yönelimli, derlenmiş bir programlama dilidir. Her ölçekte daha iyi araçlar sağlamak için tasarlanmış, JavaScript dilinin bir üst kümesidir. TypeScript, JavaScript geliştirmeyi daha verimli hale getirir. Hataları daha erken tespit etmeye yardımcı olur. TypeScript kodu, “.ts” uzantılı bir dosyaya yazılır ve ardından derleyici kullanılarak JavaScript'te derlenir. Dosyayı herhangi bir kod düzenleyicide yazabilirsiniz."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript ve JavaScript arasındaki farklar nelerdir?","TypeScript: TypeScript, nesne yönelimli bir dildir. TypeScript, statik olarak yazılır. TypeScript, modüllerleri destekler. İsteğe bağlı parametre işlevini destekler. JavaScript: JavaScript bir betik dilidir. JavaScript’in statik yazma özelliği yoktur. JavaScript modülleri desteklemez. JavaScript isteğe bağlı parametre işlevini desteklemez."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript'in öne çıkan özellikleri nelerdir?","Çapraz Platform: TypeScript, Windows, MacOS ve Linux gibi herhangi bir işletim sistemine kurulabilir. Nesne Yönelimli: TypeScript, sınıflar, arayüzler ve modüller gibi özellikler sunar. Böylece, sunucu tarafı geliştirmenin yanı sıra istemci tarafı için nesne yönelimli kod yazabilir. Statik Tip Kontrolü: TypeScript, statik tip tanımlama özelliği sayesinde değişkenlerin ve fonksiyonların tipini önceden belirleyebilir. Bu sayede hataların derleme zamanında tespit edilmesini sağlar ve daha güvenli bir kod tabanı oluşturur. ECMAScript 6+ Desteği: TypeScript, ECMAScript 6 ve sonraki sürümleriyle tam uyumlu çalışır. Dolayısıyla, modern JavaScript özellikleri kullanılabilinir ve daha güncel ve gelişmiş kodlar yazılabilir."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript kullanmanın faydaları nelerdir?","TypeScript hızlı, basit ve öğrenmesi kolaydır. Ayrıca, herhangi bir tarayıcıda çalışabilir. JavaScript'e benzer bir syntax ve semantiği kullanır. TypeScript kodu mevcut bir JavaScript kodundan çağrılabilir. Ayrıca, mevcut JavaScript framework’leri ve kütüphaneleriyle sorunsuz çalışır. Node.js gibi ES5 düzeyinde JavaScript motorlarında çalışabilen ES6 ve ES7 özelliklerini içerir."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript'in bileşenleri nelerdir?","TypeScript'in bileşenleri, dilin temel yapı taşlarını oluşturan ve yazılım geliştirme sürecinde kullanılan önemli unsurlardır. TypeScript'te aşağıdakileri içeren üç farklı bileşen türü vardır: Dil - Syntax, anahtar kelimeler ve tür ek açıklamalarından oluşur. TypeScript Compiler - Bu derleyici (tsc), TypeScript'te yazılan kodları JavaScript koduna dönüştürür. Böylece TypeScript'in tarayıcılarda çalışabilmesini sağlar. TypeScript Language Service - TypeScript Language Service (TypeScript Dil Hizmeti), TypeScript'in entegre geliştirme ortamlarında (IDE'ler) ve metin düzenleyicilerde sağladığı özellikleri ve hizmetleri sağlayan bir bileşendir."
Frontend,Teknik Yetenekler,TypeScript,"TypeScript dosyaları nasıl derlenir?","TypeScript dosyaları, TypeScript Compiler (tsc) ile derlenir. TypeScript dosyaları, "".ts"" uzantısına sahiptir ve içinde TypeScript dilinde yazılmış kodları barındırır. Bu dosyaları JavaScript dosyalarına dönüştürmek için TypeScript Compiler kullanılır. Herhangi bir JavaScript dosyası, JavaScript'in bir üst kümesi olduğu için aynı zamanda bir TypeScript dosyasıdır. Yani “.js” uzantısı “.ts” olarak değiştirildiğinde TypeScript dosyası hazır olur. tsc <TypeScript File Name>.ts"
Frontend,Teknik Yetenekler,TypeScript,"TypeScript'teki yerleşik veri türleri nelerdir?","TypeScript'teki yerleşik veri türleri, değişkenlerin ve değerlerin türlerini belirlemek için kullanılan temel veri türleridir. TypeScript'in önceden tanımlanmış yani yerleşik veri türleri şunlardır: Number: Sayısal veriler temsil eder. Sayılar, TypeScript'te kayan noktalı değerler olarak saklanır. Örneğin: const myNum: number = 1207; String: Metin veya karakter dizilerini temsil eden veri türüdür. TypeScript'teki string’ler, JavaScript'tekiyle aynı şekilde çalışır. Örneğin: let myString: string = 'bacon' Boolean: Mantıksal bir değeri temsil eden veri türüdür. Boolean veri türü kullanıldığında, çıktı yalnızca doğru veya yanlış olarak alınır. Örneğin: const myBool: boolean = false; Null: Null, değeri tanımlanmamış bir değişkeni temsil eder. Undefined: Tanımsız değişkenleri temsil eder. Void: Bir fonksiyonun geriye değer döndürmediğini ifade eden veri türüdür."
